HEAD_TITLE;urlino.com - kurze urls

HEADER_SUBLINE;... kurze URLS seit 2009!

INDEX_INDEX_INTRO_HEADLINE;Kurze URLs, wofür brauche ich das?
INDEX_INDEX_INTRO_MAINTEXT;Stell dir vor du hast eine tolle Seite im Netz gefunden, die du deinen Freunden zeigen willst. Also kopierst du die URL aus deinem Browser in eine Mail. Sollte es eine lange URL sein, dann ist es recht warscheinlich, das die URL vom Mailprogramm so unglücklich umgebrochen wird, das beim Anklicken nichts mehr geht. Urlino ist die Lösung: Kopiere einfach die lange URL in die Box weiter unten, klicke URL kürzen und du bekommst <strong>sofort eine kurze URL!</strong>

INDEX_SHOW_SHORTFORM_1;Kurze URL für
INDEX_SHOW_SHORTFORM_2;ist

INDEX_FORM_GETURL;URL kürzen

POPUP_ERROR;Uh ... leider haben wir hier ein kleines Problem!
INVALID_URL;ist keine gültige URL!
